institute,lpc,ca,bq,ndp,pc,date,cpc,gpc,sample_size,polling_method,other,ppc
Compas,40.6,25.1,10,8.9,11.6,2000-11-23,NA,NA,NA,NA,NA,NA
Decima Research,39,24,13,10,12,2000-11-21,NA,NA,NA,NA,NA,NA
Reuters/Zogby,42,29,8,7,12,2000-11-20,NA,NA,NA,NA,NA,NA
Compas,45,25,10,8,10,2000-11-14,NA,NA,NA,NA,NA,NA
Ipsos-Reid,40,28,11,9,9,2000-11-11,NA,NA,NA,NA,NA,NA
Compas,43,24,12,8,8,2000-11-10,NA,NA,NA,NA,NA,NA
Environics,48,26,9,8,8,2000-11-06,NA,NA,NA,NA,NA,NA
Ipsos-Reid,42,29,10,9,8,2000-11-01,NA,NA,NA,NA,NA,NA
Environics,45,29,11,7,7,2000-10-30,NA,NA,NA,NA,NA,NA
Decima Research,44.3,24,8.5,9.9,9.5,2000-10-26,NA,NA,NA,NA,NA,NA
Leger Marketing,48,21,10,10,10,2000-10-22,NA,NA,NA,NA,NA,NA
Nanos Research,34,NA,12,20,NA,2004-06-25,30,4,NA,NA,NA,NA
Ipsos-Reid,32,NA,12,17,NA,2004-06-25,31,6,NA,NA,NA,NA
Nanos Research,34,NA,10,22,NA,2004-06-18,29,5,NA,NA,NA,NA
Nanos Research,32,NA,12,19,NA,2004-06-16,34,3,NA,NA,NA,NA
Ipsos-Reid,31,NA,12,17,NA,2004-06-15,32,6,NA,NA,NA,NA
Nanos Research,32,NA,11,20,NA,2004-06-07,34,4,NA,NA,NA,NA
Ipsos-Reid,32,NA,11,17,NA,2004-06-04,31,6,NA,NA,NA,NA
Leger Marketing,35,NA,12,17,NA,2004-06-02,30,5,NA,NA,NA,NA
Ipsos-Reid,34,NA,12,16,NA,2004-05-31,30,NA,NA,NA,NA,NA
EKOS,38,NA,11,18,NA,2004-05-30,30,NA,NA,NA,NA,NA
Ipsos-Reid,35,NA,12,18,NA,2004-05-22,26,NA,NA,NA,NA,NA
Ipsos-Reid,38,NA,10,16,NA,2004-05-07,26,NA,NA,NA,NA,NA
Leger Marketing,38,NA,12,17,NA,2004-04-28,26,4,NA,NA,NA,NA
Ipsos-Reid,40,NA,11,18,NA,2004-04-28,23,5,NA,NA,NA,NA
Environics,39,NA,11,19,NA,2004-04-18,29,NA,NA,NA,NA,NA
Ipsos-Reid,35,NA,10,18,NA,2004-06-08,28,5,NA,NA,NA,NA
Leger Marketing,38,NA,13,16,NA,2004-03-28,26,NA,NA,NA,NA,NA
Strategic Counsel,27,NA,11,19,NA,2006-01-22,37,6,2500,NA,NA,NA
Nanos Research,30.1,NA,10.6,17.4,NA,2006-01-22,36.4,5.6,1200,Telephone ,NA,NA
Ipsos-Reid,27,NA,12,19,NA,2006-01-22,38,4,9648,NA,NA,NA
Nanos Research,28.1,NA,11.3,17.7,NA,2006-01-21,37,6,1200,Telephone ,NA,NA
Strategic Counsel,27,NA,11,18,NA,2006-01-21,37,6,2000,NA,NA,NA
Nanos Research,29.4,NA,11,17.3,NA,2006-01-20,36.2,6.1,1200,Telephone ,NA,NA
EKOS,26.9,NA,11.5,19.5,NA,2006-01-20,37.1,4.6,NA,NA,NA,NA
EKOS,24.4,NA,11.9,19.8,NA,2006-01-20,38.4,5.4,NA,NA,NA,NA
Ipsos-Reid,26,NA,11,19,NA,2006-01-19,38,5,NA,NA,NA,NA
EKOS,27,NA,11.2,19.7,NA,2006-01-19,37.1,4.5,NA,NA,NA,NA
Strategic Counsel,28,NA,11,17,NA,2006-01-19,38,7,NA,NA,NA,NA
Nanos Research,29,NA,11.1,18.8,NA,2006-01-19,35.5,5.6,1200,Telephone ,NA,NA
EKOS,27.3,NA,10.1,20.8,NA,2006-01-19,37.4,3.9,NA,NA,NA,NA
Strategic Counsel,28,NA,12,16,NA,2006-01-18,37,7,NA,NA,NA,NA
Nanos Research,30.7,NA,10.7,16.6,NA,2006-01-18,37,4.9,NA,NA,NA,NA
EKOS,29.3,NA,12.6,18,NA,2006-01-18,35.1,4.4,NA,NA,NA,NA
Leger Marketing,29,NA,11,17,NA,2006-01-17,38,NA,NA,NA,NA,NA
Strategic Counsel,25,NA,12,17,NA,2006-01-17,41,5,NA,NA,NA,NA
Nanos Research,31.5,NA,10,17.6,NA,2006-01-17,36.9,4,NA,NA,NA,NA
EKOS,27.2,NA,11,19.6,NA,2006-01-17,36.9,4.8,NA,NA,NA,NA
Strategic Counsel,24,NA,12,17,NA,2006-01-16,42,5,NA,NA,NA,NA
Nanos Research,30,NA,10,18,NA,2006-01-16,37,4,NA,NA,NA,NA
EKOS,29.6,NA,11.6,19.4,NA,2006-01-16,35.8,3.4,NA,NA,NA,NA
