date,alp,lib,nat,green,oth,alp_tpp,l_np_tpp,institute,mode,sample_size,l_np,onp
2010-08-19,36.2,43.4,NA,13.9,6.5,50.2,49.8,Newspoll,NA,NA,NA,NA
2010-08-15,38,41,NA,14,7,52,48,Newspoll,NA,NA,NA,NA
2010-08-08,38,42,NA,13,7,52,48,Newspoll,NA,NA,NA,NA
2010-08-01,37,44,NA,12,7,50,50,Newspoll,NA,NA,NA,NA
2010-07-25,40,42,NA,12,6,52,48,Newspoll,NA,NA,NA,NA
2010-07-18,42,34,4,12,8,55,45,Newspoll,NA,NA,NA,NA
2010-06-27,42,37,3,10,8,53,47,Newspoll,NA,NA,NA,NA
2010-06-20,35,36,4,15,10,52,48,Newspoll,NA,NA,NA,NA
2010-05-30,35,38,3,16,8,51,49,Newspoll,NA,NA,NA,NA
2010-05-16,37,40,3,12,8,50,50,Newspoll,NA,NA,NA,NA
2010-05-02,35,38,5,10,12,49,51,Newspoll,NA,NA,NA,NA
2010-04-18,43,37,3,10,7,54,46,Newspoll,NA,NA,NA,NA
2010-03-28,43,35,3,12,7,56,44,Newspoll,NA,NA,NA,NA
2010-03-14,39,37,4,11,9,52,48,Newspoll,NA,NA,NA,NA
2010-02-28,40,37,4,9,10,52,48,Newspoll,NA,NA,NA,NA
2010-02-14,39,36,4,12,9,53,47,Newspoll,NA,NA,NA,NA
2010-01-31,40,37,4,12,7,52,48,Newspoll,NA,NA,NA,NA
2010-01-17,40,34,4,12,10,54,46,Newspoll,NA,NA,NA,NA
2009-12-06,43,34,4,11,8,56,44,Newspoll,NA,NA,NA,NA
2009-11-29,43,30,5,12,10,57,43,Newspoll,NA,NA,NA,NA
2009-11-15,43,33,4,11,9,56,44,Newspoll,NA,NA,NA,NA
2009-11-01,41,36,5,10,8,52,48,Newspoll,NA,NA,NA,NA
2009-10-18,48,30,4,10,8,59,41,Newspoll,NA,NA,NA,NA
2009-10-01,46,31,4,10,9,58,42,Newspoll,NA,NA,NA,NA
2009-09-20,43,33,5,11,8,55,45,Newspoll,NA,NA,NA,NA
2009-09-06,44,35,4,10,7,55,45,Newspoll,NA,NA,NA,NA
2009-08-23,44,34,4,9,9,55,45,Newspoll,NA,NA,NA,NA
2009-08-09,45,33,4,10,8,57,43,Newspoll,NA,NA,NA,NA
2009-07-26,46,34,4,9,7,57,43,Newspoll,NA,NA,NA,NA
2009-07-12,43,34,5,11,7,55,45,Newspoll,NA,NA,NA,NA
2009-06-28,44,32,5,10,9,56,44,Newspoll,NA,NA,NA,NA
2009-06-14,41,36,4,11,8,53,47,Newspoll,NA,NA,NA,NA
2009-05-31,43,35,3,10,9,55,45,Newspoll,NA,NA,NA,NA
2009-05-17,46,34,3,9,8,56,44,Newspoll,NA,NA,NA,NA
2009-05-03,42,35,3,11,9,55,45,Newspoll,NA,NA,NA,NA
2009-04-19,47,33,4,9,7,58,42,Newspoll,NA,NA,NA,NA
2009-04-05,47,32,4,9,8,58,42,Newspoll,NA,NA,NA,NA
2009-03-22,45,32,5,8,10,56,44,Newspoll,NA,NA,NA,NA
2009-03-09,44,32,4,10,10,56,44,Newspoll,NA,NA,NA,NA
2009-02-22,47,33,3,9,8,58,42,Newspoll,NA,NA,NA,NA
2009-02-08,48,32,4,8,8,58,42,Newspoll,NA,NA,NA,NA
2009-01-18,43,35,4,10,8,54,46,Newspoll,NA,NA,NA,NA
2008-12-07,48,32,3,10,7,59,41,Newspoll,NA,NA,NA,NA
2008-11-23,42,33,5,11,9,55,45,Newspoll,NA,NA,NA,NA
2008-11-09,44,35,3,9,9,55,45,Newspoll,NA,NA,NA,NA
2008-10-26,44,36,3,9,8,54,46,Newspoll,NA,NA,NA,NA
2008-10-12,41,34,4,13,8,55,45,Newspoll,NA,NA,NA,NA
2008-09-21,42,34,4,10,10,55,45,Newspoll,NA,NA,NA,NA
2008-09-07,44,34,3,11,8,56,44,Newspoll,NA,NA,NA,NA
2008-08-24,45,34,4,8,9,56,44,Newspoll,NA,NA,NA,NA
2008-08-10,47,33,5,9,6,57,43,Newspoll,NA,NA,NA,NA
2008-07-27,47,33,4,10,6,57,43,Newspoll,NA,NA,NA,NA
2008-07-13,43,33,5,11,8,55,45,Newspoll,NA,NA,NA,NA
2008-06-29,44,34,5,10,7,55,45,Newspoll,NA,NA,NA,NA
2008-06-15,46,29,4,12,9,59,41,Newspoll,NA,NA,NA,NA
2008-06-01,46,33,4,10,7,57,43,Newspoll,NA,NA,NA,NA
2008-05-18,47,34,3,9,7,57,43,Newspoll,NA,NA,NA,NA
2008-05-04,47,33,4,9,7,57,43,Newspoll,NA,NA,NA,NA
2008-04-20,51,30,4,9,6,61,39,Newspoll,NA,NA,NA,NA
2008-04-06,48,32,3,10,7,59,41,Newspoll,NA,NA,NA,NA
2008-03-16,47,31,4,11,7,59,41,Newspoll,NA,NA,NA,NA
2008-03-02,51,28,3,10,8,63,37,Newspoll,NA,NA,NA,NA
2008-02-17,46,33,3,10,8,57,43,Newspoll,NA,NA,NA,NA
2008-01-20,46,32,3,12,7,58,42,Newspoll,NA,NA,NA,NA
2007-11-22,44,39,4,7,6,52,48,Newspoll,NA,NA,NA,NA
2010-08-08,43,33.5,3.5,15.5,2,57.5,42.5,Roy Morgan,NA,NA,NA,NA
2010-08-01,44,39,2,10,4,53,47,Roy Morgan,NA,NA,NA,NA
2010-07-25,43.5,35,2,11.5,6.5,55.5,44.5,Roy Morgan,NA,NA,NA,NA
2010-07-18,44.5,35,4.5,10.5,4,56,44,Roy Morgan,NA,NA,NA,NA
2013-09-06,31.5,NA,NA,9.5,14,44.5,54.5,Morgan ,NA,NA,45,NA
2013-09-05,33.7,NA,NA,10.2,12.7,47,53,ReachTEL,NA,NA,43.5,NA
2013-09-05,33,NA,NA,11,10,46,54,Nielsen,NA,NA,46,NA
2013-09-05,33,NA,NA,9,12,46,54,Newspoll,NA,NA,46,NA
