date,lpc,ca,pc,bq,ndp,gpc,oth,institute,sample_size,cpc,polling_method,ppc
2000-11-26,41,26,12,10,9,NA,1,Environics,NA,NA,NA,NA
2000-11-25,43,25,11,10,9,NA,3,Léger,2514,NA,NA,NA
2000-11-23,39,27,12,10,10,1,1,Ipsos,4102,NA,NA,NA
2000-11-23,41,25,12,10,9,NA,4,Compass,1032,NA,NA,NA
2000-11-23,41,27,14,7,8,NA,3,Zogby,NA,NA,NA,NA
2000-11-23,43,25,11,10,9,NA,NA,Léger,NA,NA,NA,NA
2000-11-23,41,25,12,10,9,NA,NA,Compass,NA,NA,NA,NA
2000-11-22,43,25,11,9,9,NA,2,Ekos,3910,NA,NA,NA
2000-11-22,45,24,13,10,7,NA,NA,Environics,NA,NA,NA,NA
2000-11-21,39,24,12,13,10,NA,NA,Decima,NA,NA,NA,NA
2000-11-21,39,27,12,11,9,NA,3,Compass,NA,NA,NA,NA
2000-11-16,46,25,10,10,9,NA,0,Léger,2213,NA,NA,NA
2000-11-15,43,26,10,10,9,NA,1,Ekos,2455,NA,NA,NA
2000-11-14,46,23,10,11,9,NA,1,Environics,1835,NA,NA,NA
2000-11-14,45,25,10,10,8,NA,1,Compass,NA,NA,NA,NA
2000-11-11,43,27,8,11,10,0,1,Ipsos,2552,NA,NA,NA
2000-11-10,43,24,8,12,8,NA,6,Compass,1612,NA,NA,NA
2000-11-07,44,26,8,11,10,1,1,Ipsos,1052,NA,NA,NA
2000-11-06,48,26,8,9,8,NA,1,Environics,1857,NA,NA,NA
2000-11-02,42,29,8,10,9,NA,2,Ipsos,NA,NA,NA,NA
2000-10-30,45,29,7,10,7,NA,NA,Environics,1339,NA,NA,NA
2000-10-26,47,28,8,9,7,NA,1,Ekos,NA,NA,NA,NA
2000-10-26,44,24,10,9,10,NA,3,Decima,2000,NA,NA,NA
2000-10-25,44,27,8,10,8,NA,3,Compass,2346,NA,NA,NA
2000-10-25,45,28,8,9,8,NA,NA,Ipsos,1502,NA,NA,NA
2000-10-23,48,23,10,10,9,NA,1,Environics,2019,NA,NA,NA
2000-10-22,48,21,8,10,8,NA,5,Léger,1503,NA,NA,NA
2000-10-16,44,25,9,10,10,NA,1,Environics,2028,NA,NA,NA
2000-10-12,52,20,8,10,8,NA,1,Ipsos,1500,NA,NA,NA
2000-10-12,45,26,7,11,11,NA,0,Compass,NA,NA,NA,NA
2000-10-07,50,19,11,9,8,NA,4,Ekos,2502,NA,NA,NA
2000-09-27,44,25,9,10,9,NA,3,Ipsos,1843,NA,NA,NA
2000-09-27,47,24,10,9,9,NA,1,Compass,NA,NA,NA,NA
2000-08-24,46,22,10,10,10,NA,2,Angus Reid,1500,NA,NA,NA
2000-08-12,43,25,10,11,10,NA,2,Angus Reid,1500,NA,NA,NA
2000-08-06,47,23,10,9,11,NA,0,Ekos,1505,NA,NA,NA
2000-07-28,50,20,12,9,9,NA,0,Ekos,1500,NA,NA,NA
2000-07-26,45,24,10,10,11,NA,1,Angus Reid,1503,NA,NA,NA
2000-07-17,48,18,13,9,9,NA,2,Ekos,2492,NA,NA,NA
2000-07-16,44,21,12,8,14,NA,1,Environics,NA,NA,NA,NA
2000-05-25,47,18,14,10,10,NA,2,Angus Reid,1516,NA,NA,NA
2000-05-15,49,19,9,10,11,NA,NA,Ekos,1482,NA,NA,NA
2000-05-08,52,17,11,9,9,NA,NA,Ekos,3530,NA,NA,NA
2000-03-06,47,14,13,11,12,NA,2,Angus Reid,1501,NA,NA,NA
2000-02-02,46,12,15,9,12,NA,6,Angus Reid,1500,NA,NA,NA
2000-01-11,57,11,13,7,10,NA,NA,Gallup,1007,NA,NA,NA
1999-11-22,54,9,20,7,10,NA,1,Gallup,1007,NA,NA,NA
1999-11-01,50,12,13,13,10,NA,2,Environics,2061,NA,NA,NA
1999-08-21,50,9,20,10,9,NA,NA,Gallup,1014,NA,NA,NA
1999-07-19,52,7,23,9,7,NA,NA,Gallup,1002,NA,NA,NA
1999-08-02,48,12,16,10,12,NA,2,Environics,2018,NA,NA,NA
1999-06-19,53,8,20,9,9,NA,NA,Gallup,1002,NA,NA,NA
1999-05-30,47,12,18,11,12,NA,NA,Angus Reid,1500,NA,NA,NA
1999-04-18,54,10,15,9,10,NA,NA,Gallup,1005,NA,NA,NA
1999-01-25,56,10,13,9,10,NA,2,Gallup,1008,NA,NA,NA
1999-01-25,49,10,11,8,8,NA,NA,Ekos,4000,NA,NA,NA
1999-01-03,49,12,12,NA,13,NA,NA,Environics,2000,NA,NA,NA
1998-11-01,47,14,17,10,11,NA,NA,Angus Reid,1500,NA,NA,NA
1998-10-25,49,13,13,NA,12,NA,NA,Environics,2000,NA,NA,NA
1998-10-21,58,11,16,6,7,NA,NA,Gallup,1004,NA,NA,NA
1998-09-24,47,14,13,12,11,NA,2,Angus Reid,1515,NA,NA,NA
1998-08-03,60,12,12,NA,NA,NA,NA,Gallup,1002,NA,NA,NA
1998-07-16,49,14,13,NA,13,NA,NA,Environics,2021,NA,NA,NA
1998-06-23,49,14,15,10,11,NA,1,Angus Reid,1504,NA,NA,NA
1998-03-24,58,14,14,7,6,NA,NA,Gallup,1003,NA,NA,NA
1998-01-27,55,14,13,9,8,NA,NA,Gallup,1002,NA,NA,NA
1998-01-26,47,16,15,10,10,NA,1,Angus Reid,1500,NA,NA,NA
1997-12-15,51,13,16,8,10,NA,NA,Gallup,NA,NA,NA,NA
1997-11-25,47,16,14,11,11,NA,1,Angus Reid,1516,NA,NA,NA
1997-09-23,48,15,15,8,13,NA,NA,Gallup,1003,NA,NA,NA
1997-08-28,53,13,16,8,8,NA,2,Gallup,1003,NA,NA,NA
1997-07-30,45,17,14,9,14,NA,1,Environics,2001,NA,NA,NA
2004-06-24,33,NA,NA,13,17,5,NA,Léger,2407,32,NA,NA
2004-06-24,34,NA,NA,12,20,4,NA,SES,600,30,NA,NA
2004-06-24,32.6,NA,NA,11.2,19,4.9,NA,Ekos,4159,31.8,NA,NA
2004-06-23,32,NA,NA,12,17,6,NA,Ipsos,2000,31,NA,NA
2004-06-23,34,NA,NA,13,15,5,NA,Compass,800,33,NA,NA
2004-06-23,34,NA,NA,12,21,3,NA,SES,600,30,NA,NA
2004-06-22,34,NA,NA,12,21,3,NA,SES,600,31,NA,NA
2004-06-22,33,NA,NA,11,18,5,NA,Environics,1444,33,NA,NA
2004-06-21,34,NA,NA,10,21,4,NA,SES,600,31,NA,NA
2004-06-20,34,NA,NA,13,16,6,NA,Ipsos,1000,28,NA,NA
2004-06-20,33,NA,NA,12,18,5,NA,SES,600,33,NA,NA
2004-06-18,34,NA,NA,10,22,5,NA,Nanos,NA,29,NA,NA
2004-06-17,29,NA,NA,12,16,7,NA,Ipsos,1000,32,NA,NA
2004-06-16,32,NA,NA,12,21,4,NA,SES,600,32,NA,NA
2004-06-16,32,NA,NA,12,19,3,NA,Nanos,NA,34,NA,NA
2004-06-16,34,NA,NA,12,16,4,NA,Léger,612,35,NA,NA
2004-06-16,35,NA,NA,11,17,3,NA,Compas,600,34,NA,NA
2004-06-13,31,NA,NA,12,17,6,NA,Ipsos,1000,32,NA,NA
2004-06-13,33,NA,NA,11,18,5,NA,SES,600,34,NA,NA
2004-06-10,33,NA,NA,11,18,5,NA,SES,600,34,NA,NA
2004-06-09,32,NA,NA,10,17,5,NA,SES,600,37,NA,NA
2004-06-09,30,NA,NA,12,19,NA,NA,Ekos,2117,34,NA,NA
2004-06-08,33,NA,NA,10,15,5,NA,SES,600,37,NA,NA
2004-06-08,32,NA,NA,11,16,7,NA,Ipsos,2003,31,NA,NA
2004-06-07,31,NA,NA,11,16,6,NA,SES,600,35,NA,NA
2004-06-07,33,NA,NA,12,19,5,NA,Léger,1500,30,NA,NA
2004-06-07,32,NA,NA,11,20,4,NA,Nanos,NA,34,NA,NA
2004-06-03,32,NA,NA,11,17,6,NA,Ipsos,1000,31,NA,NA
2004-06-03,37,NA,NA,9,17,3,NA,SES,600,34,NA,NA
2004-06-02,35,NA,NA,9,19,4,NA,SES,600,32,NA,NA
2004-06-01,37,NA,NA,11,19,5,NA,SES,600,29,NA,NA
2004-05-31,35,NA,NA,12,17,5,NA,Léger,2411,30,NA,NA
2004-05-31,36,NA,NA,13,22,5,NA,SES,600,25,NA,NA
2004-05-30,36,NA,NA,13,20,5,NA,SES,600,26,NA,NA
2004-05-30,34,NA,NA,11,16,6,NA,Ipsos,1000,30,NA,NA
2004-05-29,34,NA,NA,12,19,3,NA,SES,600,31,NA,NA
2004-05-27,38,NA,NA,11,18,NA,NA,Ekos,1306,30,NA,NA
2004-05-27,40,NA,NA,10,16,3,NA,SES,600,31,NA,NA
2004-05-26,42,NA,NA,10,17,2,NA,SES,600,29,NA,NA
2004-05-25,41,NA,NA,11,18,3,NA,SES,600,28,NA,NA
2004-05-13,40,NA,NA,NA,15,NA,NA,Ipsos,2000,25,NA,NA
2004-05-06,38,NA,NA,NA,16,5,NA,Ipsos,1000,26,NA,NA
2004-04-28,40,NA,NA,11,18,5,NA,Ipsos,946,23,NA,NA
2004-04-24,38,NA,NA,12,17,5,NA,Leger,1136,26,NA,NA
2004-04-18,39,NA,NA,11,19,NA,2,Environics,1940,29,NA,NA
2004-04-08,35,NA,NA,10,18,5,NA,Ipsos,1000,28,NA,NA
2004-03-25,38,NA,NA,10,15,5,NA,Ipsos,1000,27,NA,NA
2004-03-22,38,NA,NA,13,16,NA,NA,Leger,1500,26,NA,NA
2004-03-07,38,NA,NA,12,17,4,2,Ipsos,2111,26,NA,NA
2004-02-25,42,NA,NA,9,15,NA,2,Ekos,1200,32,NA,NA
2004-02-12,39,NA,NA,10,18,5,3,Ipsos,944,24,NA,NA
2004-01-29,48,NA,NA,11,15,3,0,SES,1000,23,NA,NA
2004-01-27,49,NA,NA,11,15,NA,NA,Leger,1115,21,NA,NA
2004-01-15,48,NA,NA,10,16,4,4,Ipsos,1055,19,NA,NA
2003-12-29,51,NA,NA,8,15,NA,2,Environics,1936,24,NA,NA
2003-11-27,43,10,14,9,15,5,4,Ipsos,1057,NA,NA,NA
2003-11-09,49,12,16,10,12,NA,1,SES,1000,NA,NA,NA
2003-10-23,46,11,15,8,11,4,4,Ipsos,NA,NA,NA,NA
2003-09-02,46,13,19,8,15,NA,0,SES,1000,NA,NA,NA
2003-06-09,54,11,17,5,10,NA,NA,Ekos,1501,NA,NA,NA
2003-06-06,44,16,16,8,14,NA,NA,Environics,1926,NA,NA,NA
2003-06-05,45,14,15,9,11,5,NA,Ipsos,1006,NA,NA,NA
2003-05-25,55,12,14,8,10,NA,NA,Leger,1181,NA,NA,NA
2003-05-23,52,12,18,7,10,NA,NA,SES,1000,NA,NA,NA
2003-04-17,50,14,13,9,10,4,NA,Ipsos,1009,NA,NA,NA
2003-03-27,44,16,15,9,14,NA,2,Environics,1943,NA,NA,NA
2003-02-20,47.3,10.7,14.1,7.6,17.2,NA,NA,Ekos,1006,NA,NA,NA
2003-02-11,48,13,16,7,14,NA,NA,SES,1000,NA,NA,NA
