institute,date,fr_p,ap,h,kr_f,sv,sp,v,others,sample_size,resp_rate,r,mdg
Norstat,2008-04,24.7,29.4,16.9,7.1,5.9,5.3,8.4,2.3,NA,NA,NA,NA
Response Analyse,2008-04,25.3,31.6,15.7,5.7,7.5,5.5,6.4,2.3,NA,NA,NA,NA
TNS Gallup,2008-04,23.5,31.6,18.2,6.9,6.4,5.2,4.9,3.3,NA,NA,NA,NA
Norstat,2008-05,30.8,26.6,17,6.3,6.9,6.3,5.3,0.8,NA,NA,NA,NA
Response Analyse,2008-05,24.8,28.8,19,6.8,7,4.7,7,1.9,NA,NA,NA,NA
TNS Gallup,2008-05,26.5,26.3,18.4,6,8.3,4.7,6.6,3.2,NA,NA,NA,NA
Sentio-Norsk Statistikk,2008-06,29.3,23.9,17.9,6.7,7.1,5.2,5.2,4.7,NA,NA,NA,NA
Norstat,2008-06,30.6,26,15.8,6.3,6.7,6.3,5.3,3,NA,NA,NA,NA
Response Analyse,2008-06,30.7,26.4,17.8,4.7,6.5,5.3,5.6,3,NA,NA,NA,NA
TNS Gallup,2008-06,28.3,30.3,16.5,7.7,6.1,3.4,5.2,2.5,NA,NA,NA,NA
Norstat,2008-07,30.7,28.1,16.1,5.6,5.7,4.5,5.6,3.7,NA,NA,NA,NA
Norstat,2008-08,32.1,26.2,16.2,5.8,7,5,5.1,2.6,NA,NA,NA,NA
TNS Gallup,2008-08,30.4,29.2,15.4,4.8,5.7,4.2,6.3,4,NA,NA,NA,NA
Norstat,2008-09,30.7,29.3,13.8,6.5,6,5.5,5.4,2.8,NA,NA,NA,NA
Response Analyse,2008-09,31.7,27.9,14.6,5.8,6.1,5.6,5.9,2.4,NA,NA,NA,NA
Norstat,2008-10,26.3,32.2,15.2,5.7,7.5,4.5,5.9,2.8,NA,NA,NA,NA
Norstat,2008-11,27.5,31.1,14.5,6.6,8.5,4.8,5.5,1.5,NA,NA,NA,NA
TNS Gallup,2008-12,21.6,32.4,16.7,5.4,7.9,6.1,5.8,4.1,NA,NA,NA,NA
Response Analyse,2008-12,21.5,32.5,18.2,6.7,7.2,5.9,6.1,0.9,NA,NA,NA,NA
Opinion,2008-12,25.1,27.5,19.1,6.2,7.5,5.4,5.1,4.1,NA,NA,NA,NA
Norstat,2008-12,25.7,30.7,17.1,6.1,8.1,5.3,5.1,1.2,NA,NA,NA,NA
Sentio,2008-12,24,29.9,16.8,6.2,8.5,5.9,5.8,1.4,NA,NA,NA,NA
Opinion,2009-01,28.6,28.7,15.2,5.6,8.1,6,5.1,2.6,NA,NA,NA,NA
Sentio,2009-01,24.5,36.5,13.9,5.9,6.8,5.3,4.5,2.4,NA,NA,NA,NA
Synovate,2009-01,19.5,34.5,16.6,5.2,9.2,5.5,5.4,4.1,NA,NA,NA,NA
Norstat,2009-02,21.6,35.4,15.8,5.2,6.8,5.5,6.6,3,NA,NA,NA,NA
Synovate,2009-02,20.8,35.1,15.6,5.9,8.4,4.7,6.8,2.8,NA,NA,NA,NA
Norstat,2009-02,29.4,33,12.6,5.2,7.1,6.5,5.9,2.5,NA,NA,NA,NA
In fact,2009-03,27.2,32.2,13.2,6.5,6.9,6.6,5,2.4,NA,NA,NA,NA
Norfakta,2009-03,28,31,14.7,6.9,6.9,4.6,4.7,3.8,NA,NA,NA,NA
Norstat,2009-03,30.1,31.3,14.1,5.7,6.6,5,5.3,1.9,NA,NA,NA,NA
Norstat,2009-03,29.7,31.7,13.3,7.3,6.9,5,3.7,2.3,NA,NA,NA,NA
Opinion,2009-03,30.9,28.4,13.2,5.6,6.4,6.8,6.1,2.6,NA,NA,NA,NA
Response Analyse,2009-03,25.4,32.8,14.2,6.1,6,5.9,6.5,3.2,NA,NA,NA,NA
