;jpg;candidate;party;gender;race;note
1;al_damato.jpg;Al D'Amato;REP;m;white;
2;al_franken.jpg;Al Franken;DEM;m;white;
3;alan_blinken.jpg;Alan Blinken;DEM;m;white;
4;alan_keyes.jpg;Alan Keyes;REP;m;black;
5;alan_schlesinger.jpg;Alan Schlesinger;REP;m;white;
6;alex_sanders.jpg;Alex Sanders;DEM;m;white;
7;alexi_giannoulias.jpg;Alexi Giannoulias;DEM;m;white;greek
8;alison_lundergan_grimes.jpg;Alison Lundergan Grimes;DEM;f;white;
9;allen_mcculloch.jpg;Allen McCulloch;REP;m;white;
10;allen_weh.jpg;Allen Weh;REP;m;white;
11;alvin_greene.jpg;Alvin Greene;DEM;m;black;
12;amanda_curtis.jpg;Amanda Curtis;DEM;f;white;
13;amy_klobuchar.jpg;Amy Klobuchar;DEM;f;white;
14;andrew_rice.jpg;Andrew Rice;DEM;m;white;
15;ann_kirkpatrick.jpg;Ann Kirkpatrick;DEM;f;white;
16;arlen_specter.jpg;Arlen Specter;REP;m;white;
17;arthur_small.jpg;Arthur Small;DEM;m;white;
18;barack_obama.jpg;Barack Obama;DEM;m;black;
19;barbara_ann_radnofsky.jpg;Barbara Ann Radnofsky;DEM;f;white;
20;barbara_boxer.jpg;Barbara Boxer;DEM;f;white;
21;barbara_mikulski.jpg;Barbara Mikulski;DEM;f;white;
22;barry_hinckley.jpg;Barry Hinckley;REP;m;white;
23;ben_cardin.jpg;Ben Cardin;DEM;m;white;
24;ben_nelson.jpg;Ben Nelson;DEM;m;white;
25;beto_orourke.jpg;Beto O'Rourke;DEM;m;white;
26;bill_bradbury.jpg;Bill Bradbury;DEM;m;white;
27;bill_cassidy.jpg;Bill Cassidy;REP;m;white;
28;bill_frist.jpg;Bill Frist;REP;m;white;
29;bill_lloyd.jpg;Bill Lloyd;DEM;m;white;
30;bill_mccollum.jpg;Bill McCollum;REP;m;white;
31;bill_nelson.jpg;Bill Nelson;DEM;m;white;
32;blanche_lincoln.jpg;Blanche Lincoln;DEM;f;white;
33;bob_bennett.jpg;Bob Bennett;REP;m;white;
34;bob_casey_jr.jpg;Bob Casey Jr.;DEM;m;white;
35;bob_clement.jpg;Bob Clement;DEM;m;white;
36;bob_conley.jpg;Bob Conley;DEM;m;white;
37;bob_corker.jpg;Bob Corker;REP;m;white;
38;bob_franks.jpg;Bob Franks;REP;m;white;
39;bob_hugin.jpg;Bob Hugin;REP;m;white;
40;bob_inglis.jpg;Bob Inglis;REP;m;white;
41;bob_kerrey.jpg;Bob Kerrey;DEM;m;white;
42;bob_menendez.jpg;Bob Menendez;DEM;m;hispanic;
43;bob_schaffer.jpg;Bob Schaffer;REP;m;white;
44;bob_tuke.jpeg;Bob Tuke;DEM;m;white;
45;brad_ellsworth.jpg;Brad Ellsworth;DEM;m;white;
46;brad_hutto.jpg;Brad Hutto;DEM;m;white;
47;brian_herr.jpg;Brian Herr;REP;m;white;
48;brian_schweitzer.jpg;Brian Schweitzer;DEM;m;white;
49;bruce_braley.jpg;Bruce Braley;DEM;m;white;
50;bruce_lunsford.jpeg;Bruce Lunsford;DEM;m;white;
51;byron_dorgan.jpg;Byron Dorgan;DEM;m;white;
52;carl_levin.jpg;Carl Levin;DEM;m;white;
53;carol_m_braun.jpg;Carol Moseley Braun;DEM;f;black;
54;catherine_c_masto.jpg;Catherine Cortez Masto;DEM;f;hispanic;
55;charles_e_summers_jr.jpg;Charles E. Summers, Jr.;REP;m;white;
56;charles_melancon.jpg;Charles Melancon;DEM;m;white;
57;chele_chiavacci_farley.jpg;Chele Chiavacci Farley;REP;f;white;italian
58;chellie_pingree.jpg;Chellie Pingree;DEM;f;white;
59;chris_coons.jpg;Chris Coons;DEM;m;white;
60;chris_murphy.jpg;Chris Murphy;DEM;m;white;
61;chris_rothfuss.jpg;Chris Rothfuss;DEM;m;white;
62;chris_van_hollen.jpg;Chris Van Hollen;DEM;m;white;
63;chris_vance.jpg;Chris Vance;REP;m;white;
64;christine_odonnell.jpg;Christine O'Donnell;REP;f;white;
65;christopher_dodd.jpg;Chris Dodd;DEM;m;white;
66;christopher_reed.jpg;Christopher Reed;REP;m;white;
67;chuck_grassley.jpg;Chuck Grassley;REP;m;white;
68;chuck_robb.jpeg;Chuck Robb;DEM;m;white;
69;chuck_schumer.jpg;Chuck Schumer;DEM;m;white;
70;claire_mccaskill.jpg;Claire McCaskill;DEM;f;white;
71;conrad_burns.jpg;Conrad Burns;REP;m;white;
72;corey_stewart.jpg;Corey Stewart;REP;m;white;
73;cory_booker.jpg;Cory Booker;DEM;m;black;
74;cory_gardner.jpeg;Cory Gardner;REP;m;white;
75;craig_l_thomas.jpg;Craig L. Thomas;REP;f;white;
76;cynthia_dill.jpg;Cynthia Dill;DEM;f;white;
77;dan_bongino.jpg;Dan Bongino;REP;m;hispanic;
78;dan_carter.jpg;Dan Carter;REP;m;white;
79;dan_coats.jpg;Dan Coats;REP;m;white;
80;dan_sullivan.jpg;Dan Sullivan;REP;m;white;
81;daniel_mongiardo.jpg;Daniel Mongiardo;DEM;m;white;italian
82;darryl_glenn.jpg;Darryl Glenn;REP;m;black;
83;david_baria.jpg;David Baria;DEM;m;white;
84;david_johnson.jpg;David Johnson;DEM;m;white;
85;david_perdue.jpeg;David Perdue;REP;m;white;
86;david_vitter.jpg;David Vitter;REP;m;white;
87;david_walters.jpg;David Walters;DEM;m;white;
88;dean_heller.jpg;Dean Heller;REP;m;white;
89;deb_fischer.jpg;Deb Fischer;REP;f;white;
90;debbie_stabenow.jpg;Debbie Stabenow;DEM;f;white;
91;deborah_k_ross.jpg;Deborah Ross;DEM;f;white;
92;denise_majette.jpg;Denise Majette;DEM;f;black;
93;denny_rehberg.jpg;Denny Rehberg;REP;m;white;
94;dianne_feinstein.jpg;Dianne Feinstein;DEM;f;white;
95;dick_durbin.jpg;Dick Durbin;DEM;m;white;
96;dick_zimmer.jpg;Dick Zimmer;REP;m;white;
97;dino_rossi.jpg;Dino Rossi;REP;m;white;italian
98;don_stenberg.jpg;Don Stenberg;REP;m;white;
99;doug_forrester.jpg;Doug Forrester;REP;m;white;
100;duane_sand.jpg;Duane Sand;REP;m;white;
101;e_j_pipkin.jpg;E. J. Pipkin;REP;m;white;
102;ed_flanagan.jpg;Ed Flanagan;DEM;m;white;
103;ed_gillespie.jpg;Ed Gillespie;REP;m;white;
104;ed_markey.jpg;Ed Markey;DEM;m;white;
105;edward_m_bernstein.jpg;Edward M. Bernstein;DEM;m;white;
106;elaine_marshall.jpg;Elaine Marshall;DEM;f;white;
107;elizabeth_dole.jpg;Elizabeth Dole;REP;f;white;
108;elizabeth_emken.jpg;Elizabeth Emken;REP;f;white;
109;elizabeth_warren.jpg;Elizabeth Warren;DEM;f;white;
110;eric_fingerhut.jpg;Eric Fingerhut;DEM;m;white;
