incumbency,dem_candidate,rep_candidate,no_candidates,election_year,state_long,senator
TRUE,Clayton Suddith,Richard Shelby,2,1998,Alabama,Richard Shelby
TRUE,Joe Sonneman,Frank Murkowski,4,1998,Alaska,Frank Murkowski
TRUE,Ed Ranger,John McCain,4,1998,Arizona,John McCain
FALSE,Blanche Lincoln,Fay Boozman,3,1998,Arkansas,Dale Bumpers
TRUE,Barbara Boxer,Matt Fong,7,1998,California,Barbara Boxer
TRUE,Dottie Lamm,Ben Nighthorse Campbell,7,1998,Colorado,Ben Nighthorse Campbell
TRUE,Chris Dodd,Gary Franks,5,1998,Connecticut,Chris Dodd
TRUE,Bob Graham,Charlie Crist,2,1998,Florida,Bob Graham
TRUE,Michael Coles,Paul Coverdell,3,1998,Georgia,Paul Coverdell
TRUE,Daniel Inouye,Crystal Young,3,1998,Hawaii,Daniel Inouye
FALSE,Bill Mauk,Mike Crapo,3,1998,Idaho,Dirk Kempthorne
TRUE,Carol Moseley Braun,Peter Fitzgerald,4,1998,Illinois,Carol Moseley Braun
FALSE,Evan Bayh,Paul Helmke,3,1998,Indiana,Dan Coats
TRUE,David Osterberg,Chuck Grassley,4,1998,Iowa,Chuck Grassley
TRUE,Paul Feleciano Jr.,Sam Brownback,4,1998,Kansas,Sam Brownback
FALSE,Scotty Baesler,Jim Bunning,3,1998,Kentucky,Wendell Ford
TRUE,John Breaux,Jim Donelon,2,1998,Louisiana,John Breaux
TRUE,Barbara Mikulski,Ross Pierpont,2,1998,Maryland,Barbara Mikulski
TRUE,Jay Nixon,Kit Bond,5,1998,Missouri,Kit Bond
TRUE,Harry Reid,John Ensign,4,1998,Nevada,Harry Reid
TRUE,George Condodemetraky,Judd Gregg,4,1998,New Hampshire,Judd Gregg
TRUE,Chuck Schumer,Al D'Amato,6,1998,New York,Al D'Amato
TRUE,John Edwards,Lauch Faircloth,3,1998,North Carolina,Lauch Faircloth
TRUE,Byron Dorgan,Donna Nalewaja,3,1998,North Dakota,Byron Dorgan
FALSE,Mary Boyle,George Voinovich,2,1998,Ohio,John Glenn
TRUE,Don Carroll,Don Nickles,4,1998,Oklahoma,Don Nickles
TRUE,Ron Wyden,John Lim,6,1998,Oregon,Ron Wyden
TRUE,Bill Lloyd,Arlen Specter,4,1998,Pennsylvania,Arlen Specter
TRUE,Ernest Hollings,Bob Inglis,3,1998,South Carolina,Ernest Hollings
TRUE,Tom Daschle,Ron Schmidt,3,1998,South Dakota,Tom Daschle
TRUE,Scott Leckman,Bob Bennett,3,1998,Utah,Bob Bennett
TRUE,Patrick Leahy,Fred Tuttle,6,1998,Vermont,Patrick Leahy
TRUE,Patty Murray,Linda Smith,2,1998,Washington,Patty Murray
TRUE,Russ Feingold,Mark Neumann,5,1998,Wisconsin,Russ Feingold
TRUE,NA,Jon Kyl,4,2000,Arizona,Jon Kyl
TRUE,Dianne Feinstein,Tom Campbell,7,2000,California,Dianne Feinstein
TRUE,Joe Lieberman,Philip Giordano,4,2000,Connecticut,Joe Lieberman
TRUE,Tom Carper,William Roth,5,2000,Delaware,William Roth
FALSE,Bill Nelson,Bill McCollum,8,2000,Florida,Connie Mack III
TRUE,Daniel Akaka,John Carroll,5,2000,Hawaii,Daniel Akaka
TRUE,David Johnson,Richard Lugar,3,2000,Indiana,Richard Lugar
TRUE,Mark Lawrence,Olympia Snowe,2,2000,Maine,Olympia Snowe
TRUE,Paul Sarbanes,Paul Rappaport,2,2000,Maryland,Paul Sarbanes
TRUE,Ted Kennedy,Jack E. Robinson III,5,2000,Massachusetts,Ted Kennedy
TRUE,Debbie Stabenow,Spencer Abraham,7,2000,Michigan,Spencer Abraham
TRUE,Mark Dayton,Rod Grams,7,2000,Minnesota,Rod Grams
TRUE,Troy Brown,Trent Lott,5,2000,Mississippi,Trent Lott
TRUE,Mel Carnahan,John Ashcroft,6,2000,Missouri,John Ashcroft
TRUE,Brian Schweitzer,Conrad Burns,3,2000,Montana,Conrad Burns
FALSE,Ben Nelson,Don Stenberg,2,2000,Nebraska,Bob Kerrey
FALSE,Edward M. Bernstein,John Ensign,6,2000,Nevada,Richard Bryan
FALSE,Jon Corzine,Bob Franks,11,2000,New Jersey,Frank Lautenberg
TRUE,Jeff Bingaman,William T. Redmond,2,2000,New Mexico,Jeff Bingaman
FALSE,Hillary Clinton,Rick Lazio,8,2000,New York,Daniel Patrick Moynihan
TRUE,Kent Conrad,Duane Sand,2,2000,North Dakota,Kent Conrad
TRUE,Ted Celeste,Mike DeWine,4,2000,Ohio,Mike DeWine
TRUE,Ron Klink,Rick Santorum,5,2000,Pennsylvania,Rick Santorum
TRUE,Robert Weygand,Lincoln Chafee,4,2000,Rhode Island,Lincoln Chafee
TRUE,Jeff Clark,Bill Frist,7,2000,Tennessee,Bill Frist
TRUE,Gene Kelly,Kay Bailey Hutchison,4,2000,Texas,Kay Bailey Hutchison
TRUE,Scott Howell,Orrin Hatch,4,2000,Utah,Orrin Hatch
TRUE,Ed Flanagan,Jim Jeffords,7,2000,Vermont,Jim Jeffords
TRUE,Chuck Robb,George Allen,2,2000,Virginia,Chuck Robb
TRUE,Maria Cantwell,Slade Gorton,3,2000,Washington,Slade Gorton
TRUE,Robert Byrd,David T. Gallaher,3,2000,West Virginia,Robert Byrd
TRUE,Herb Kohl,John Gillespie,5,2000,Wisconsin,Herb Kohl
TRUE,Mel Logan,Craig L. Thomas,3,2000,Wyoming,Craig L. Thomas
TRUE,Susan Parker,Jeff Sessions,3,2002,Alabama,Jeff Sessions
TRUE,Frank J. Vondersaar,Ted Stevens,5,2002,Alaska,Ted Stevens
TRUE,Mark Pryor,Tim Hutchinson,2,2002,Arkansas,Tim Hutchinson
TRUE,Tom Strickland,Wayne Allard,5,2002,Colorado,Wayne Allard
