candidate_name;state;cycle;candidate_party;general;multi_cand
Bill Cabaniss;Alabama;1990;REP;1;0
Howell Heflin;Alabama;1990;DEM;1;0
Hank Brown;Colorado;1990;REP;1;0
Josie Heath;Colorado;1990;DEM;1;0
Daniel K. Akaka;Hawaii;1990;DEM;1;0
Patricia Saiki;Hawaii;1990;REP;1;0
Larry E. Craig;Idaho;1990;REP;1;0
Ron Twilegar;Idaho;1990;DEM;1;0
Lynn Martin;Illinois;1990;REP;1;0
Paul M. Simon;Illinois;1990;DEM;1;0
Baron P. Hill;Indiana;1990;DEM;1;0
Daniel Coats;Indiana;1990;REP;1;0
Tom Harkin;Iowa;1990;DEM;1;0
Tom Tauke;Iowa;1990;REP;1;0
Harvey Sloane;Kentucky;1990;DEM;1;0
Mitch McConnell;Kentucky;1990;REP;1;0
Ben Bagert;Louisiana;1990;REP;0;0
Bennett Johnston;Louisiana;1990;DEM;1;0
David Duke;Louisiana;1990;REP;1;0
Neil Rolde;Maine;1990;DEM;1;0
William S. Cohen;Maine;1990;REP;1;0
Jim Rappaport;Massachusetts;1990;REP;1;0
John Kerry;Massachusetts;1990;DEM;1;0
Bill Schuette;Michigan;1990;REP;1;0
Carl Levin;Michigan;1990;DEM;1;0
Paul Wellstone;Minnesota;1990;DEM;1;0
Rudy Boschwitz;Minnesota;1990;REP;1;0
Allen Kolstad;Montana;1990;REP;1;0
Max Baucus;Montana;1990;DEM;1;0
Hal Daub;Nebraska;1990;REP;1;0
J. James Exon;Nebraska;1990;DEM;1;0
John Durkin;New Hampshire;1990;DEM;1;0
Robert C. Smith;New Hampshire;1990;REP;1;0
Harvey Gantt;North Carolina;1990;DEM;1;0
Jesse Helms;North Carolina;1990;REP;1;0
David Boren;Oklahoma;1990;DEM;1;0
Stephen Jones;Oklahoma;1990;REP;1;0
Harry Lonsdale;Oregon;1990;DEM;1;0
Mark Odom Hatfield;Oregon;1990;REP;1;0
Claiborne Pell;Rhode Island;1990;DEM;1;0
Claudine Schneider;Rhode Island;1990;REP;1;0
Dean Sinclair;South Dakota;1990;IND;0;0
Larry Pressler;South Dakota;1990;REP;1;0
Ted Muenster;South Dakota;1990;DEM;1;0
Hugh Parmer;Texas;1990;DEM;1;0
Phil Gramm;Texas;1990;REP;1;0
John D. Rockefeller, IV;West Virginia;1990;DEM;1;0
John Yoder;West Virginia;1990;REP;1;0
Richard C. Shelby;Alabama;1992;DEM;1;0
Richard Sellers;Alabama;1992;REP;1;0
Frank Murkowski;Alaska;1992;REP;1;0
Mary Jordan;Alaska;1992;GRE;1;0
Tony Smith;Alaska;1992;DEM;1;0
Claire Sargent;Arizona;1992;DEM;1;0
Evan Mecham;Arizona;1992;IND;0;0
John McCain;Arizona;1992;REP;1;0
Dale Bumpers;Arkansas;1992;DEM;1;0
Mike Huckabee;Arkansas;1992;REP;1;0
Barbara Boxer;California;1992;DEM;1;0
Bruce Herschensohn;California;1992;REP;1;0
Dianne Feinstein;California;1992;DEM;1;0
John Seymour;California;1992;REP;1;0
Ben Nighthorse Campbell;Colorado;1992;DEM;1;0
Terry Considine;Colorado;1992;REP;1;0
Brook Johnson;Connecticut;1992;REP;1;0
Christopher J. Dodd;Connecticut;1992;DEM;1;0
Bill Grant;Florida;1992;REP;1;0
Bob Graham;Florida;1992;DEM;1;0
Paul Coverdell;Georgia;1992;REP;1;0
Wyche Fowler;Georgia;1992;DEM;1;0
Daniel K. Inouye;Hawaii;1992;DEM;1;0
Rick Reed;Hawaii;1992;REP;1;0
C. Dirk Kempthorne;Idaho;1992;REP;1;0
Richard Stallings;Idaho;1992;DEM;1;0
Carol Moseley-Braun;Illinois;1992;DEM;1;0
Chad Koppie;Illinois;1992;IND;0;0
Richard Williamson;Illinois;1992;REP;1;0
Daniel Coats;Indiana;1992;REP;1;0
Joseph Hogsett;Indiana;1992;DEM;1;0
Chuck Grassley;Iowa;1992;REP;1;0
Jean Lloyd-Jones;Iowa;1992;DEM;1;0
Bob Dole;Kansas;1992;REP;1;0
Gloria O'Dell;Kansas;1992;DEM;1;0
David L. Williams;Kentucky;1992;REP;1;0
Wendell H. Ford;Kentucky;1992;DEM;1;0
Alan Keyes;Maryland;1992;REP;1;0
Barbara A. Mikulski;Maryland;1992;DEM;1;0
Christopher S. Bond;Missouri;1992;REP;1;0
Geri Rothman-Serot;Missouri;1992;DEM;1;0
