cycle;state;incumbent
1998;Alabama;Richard Shelby
1998;Alaska;Frank Murkowski
1998;Arizona;John McCain
1998;Arkansas;Dale Bumpers
1998;California;Barbara Boxer
1998;Colorado;Ben Nighthorse Campbell
1998;Connecticut;Chris Dodd
1998;Florida;Bob Graham
1998;Georgia;Paul Coverdell
1998;Hawaii;Daniel Inouye
1998;Idaho;Dirk Kempthorne
1998;Illinois;Carol Moseley Braun
1998;Indiana;Dan Coats
1998;Iowa;Chuck Grassley
1998;Kansas;Sam Brownback
1998;Kentucky;Wendell Ford
1998;Louisiana;John Breaux
1998;Maryland;Barbara Mikulski
1998;Missouri;Kit Bond
1998;Nevada;Harry Reid
1998;New Hampshire;Judd Gregg
1998;New York;Al D'Amato
1998;North Carolina;Lauch Faircloth
1998;North Dakota;Byron Dorgan
1998;Ohio;John Glenn
1998;Oklahoma;Don Nickles
1998;Oregon;Ron Wyden
1998;Pennsylvania;Arlen Specter
1998;South Carolina;Ernest Hollings
1998;South Dakota;Tom Daschle
1998;Utah;Bob Bennett
1998;Vermont;Patrick Leahy
1998;Washington;Patty Murray
1998;Wisconsin;Russ Feingold
2000;Arizona;Jon Kyl
2000;California;Dianne Feinstein
2000;Connecticut;Joe Lieberman
2000;Delaware;William Roth
2000;Florida;Connie Mack III
2000;Hawaii;Daniel Akaka
2000;Indiana;Richard Lugar
2000;Maine;Olympia Snowe
2000;Maryland;Paul Sarbanes
2000;Massachusetts;Ted Kennedy
2000;Michigan;Spencer Abraham
2000;Minnesota;Rod Grams
2000;Mississippi;Trent Lott
2000;Missouri;John Ashcroft
2000;Montana;Conrad Burns
2000;Nebraska;Bob Kerrey
2000;Nevada;Richard Bryan
2000;New Jersey;Frank Lautenberg
2000;New Mexico;Jeff Bingaman
2000;New York;Daniel Patrick Moynihan
2000;North Dakota;Kent Conrad
2000;Ohio;Mike DeWine
2000;Pennsylvania;Rick Santorum
2000;Rhode Island;Lincoln Chafee
2000;Tennessee;Bill Frist
2000;Texas;Kay Bailey Hutchison
2000;Utah;Orrin Hatch
2000;Vermont;Jim Jeffords
2000;Virginia;Chuck Robb
2000;Washington;Slade Gorton
2000;West Virginia;Robert Byrd
2000;Wisconsin;Herb Kohl
2000;Wyoming;Craig L. Thomas
2002;Alabama;Jeff Sessions
2002;Alaska;Ted Stevens
2002;Arkansas;Tim Hutchinson
2002;Colorado;Wayne Allard
2002;Delaware;Joe Biden
2002;Georgia;Max Cleland
2002;Idaho;Larry Craig
2002;Illinois;Dick Durbin
2002;Iowa;Tom Harkin
2002;Kansas;Pat Roberts
2002;Kentucky;Mitch McConnell
2002;Louisiana;Mary Landrieu
2002;Maine;Susan Collins
2002;Massachusetts;John Kerry
2002;Michigan;Carl Levin
2002;Minnesota;Dean Barkley
2002;Mississippi;Thad Cochran
2002;Montana;Max Baucus
2002;Nebraska;Chuck Hagel
2002;New Hampshire;Bob Smith
2002;New Jersey;Robert Torricelli
2002;New Mexico;Pete Domenici
2002;North Carolina;Jesse Helms
2002;Oklahoma;Jim Inhofe
2002;Oregon;Gordon H. Smith
2002;Rhode Island;Jack Reed
2002;South Carolina;Strom Thurmond
2002;South Dakota;Tim Johnson
2002;Tennessee;Fred Thompson
2002;Texas;Phil Gramm
2002;Virginia;John Warner
2002;West Virginia;Jay Rockefeller
2002;Wyoming;Mike Enzi
2004;Alabama;Richard Shelby
2004;Alaska;Lisa Murkowski
2004;Arizona;John McCain
2004;Arkansas;Blanche Lincoln
2004;California;Barbara Boxer
2004;Colorado;Ben Nighthorse Campbell
2004;Connecticut;Chris Dodd
2004;Florida;Bob Graham
2004;Georgia;Zell Miller
2004;Hawaii;Daniel Inouye
2004;Idaho;Mike Crapo
2004;Illinois;Peter Fitzgerald
2004;Indiana;Evan Bayh
2004;Iowa;Chuck Grassley
2004;Kansas;Sam Brownback
2004;Kentucky;Jim Bunning
2004;Louisiana;John Breaux
2004;Maryland;Barbara Mikulski
2004;Missouri;Kit Bond
2004;Nevada;Harry Reid
2004;New Hampshire;Judd Gregg
2004;New York;Chuck Schumer
2004;North Carolina;John Edwards
2004;North Dakota;Byron Dorgan
2004;Ohio;George Voinovich
2004;Oklahoma;Don Nickles
2004;Oregon;Ron Wyden
2004;Pennsylvania;Arlen Specter
2004;South Carolina;Fritz Hollings
2004;South Dakota;Tom Daschle
2004;Utah;Bob Bennett
2004;Vermont;Patrick Leahy
2004;Washington;Patty Murray
2004;Wisconsin;Russ Feingold
2006;Arizona;Jon Kyl
2006;California;Dianne Feinstein
2006;Connecticut;Joe Lieberman
2006;Delaware;Tom Carper
2006;Florida;Bill Nelson
2006;Hawaii;Daniel Akaka
2006;Indiana;Richard Lugar
2006;Maine;Olympia Snowe
2006;Maryland;Paul Sarbanes
2006;Massachusetts;Ted Kennedy
2006;Michigan;Debbie Stabenow
2006;Minnesota;Mark Dayton
2006;Mississippi;Trent Lott
2006;Missouri;Jim Talent
2006;Montana;Conrad Burns
2006;Nebraska;Ben Nelson
2006;Nevada;John Ensign
2006;New Jersey;Bob Menendez
2006;New Mexico;Jeff Bingaman
2006;New York;Hillary Clinton
2006;North Dakota;Kent Conrad
2006;Ohio;Mike DeWine
2006;Pennsylvania;Rick Santorum
2006;Rhode Island;Lincoln Chafee
2006;Tennessee;Bill Frist
2006;Texas;Kay Bailey Hutchison
2006;Utah;Orrin Hatch
2006;Vermont;Jim Jeffords
2006;Virginia;George Allen
2006;Washington;Maria Cantwell
2006;West Virginia;Robert Byrd
2006;Wisconsin;Herb Kohl
2006;Wyoming;Craig L. Thomas
2008;Alabama;Jeff Sessions
2008;Alaska;Ted Stevens
2008;Arkansas;Mark Pryor
2008;Colorado;Wayne Allard
2008;Delaware;Joe Biden
2008;Georgia;Saxby Chambliss
2008;Idaho;Larry Craig
2008;Illinois;Dick Durbin
2008;Iowa;Tom Harkin
2008;Kansas;Pat Roberts
2008;Kentucky;Mitch McConnell
2008;Louisiana;Mary Landrieu
2008;Maine;Susan Collins
2008;Massachusetts;John Kerry
2008;Michigan;Carl Levin
2008;Minnesota;Norm Coleman
2008;Mississippi;Thad Cochran
2008;Montana;Max Baucus
2008;Nebraska;Chuck Hagel
2008;New Hampshire;John E. Sununu
2008;New Jersey;Frank Lautenberg
2008;New Mexico;Pete Domenici
2008;North Carolina;Elizabeth Dole
2008;Oklahoma;Jim Inhofe
2008;Oregon;Gordon H. Smith
2008;Rhode Island;Jack Reed
2008;South Carolina;Lindsey Graham
2008;South Dakota;Tim Johnson
2008;Tennessee;Lamar Alexander
2008;Texas;John Cornyn
2008;Virginia;John Warner
2008;West Virginia;Jay Rockefeller
2008;Wyoming;Mike Enzi
2010;Alabama;Richard Shelby
2010;Alaska;Lisa Murkowski
2010;Arizona;John McCain
2010;Arkansas;Blanche Lincoln
2010;California;Barbara Boxer
2010;Colorado;Michael Bennet
2010;Connecticut;Chris Dodd
2010;Florida;George LeMieux
2010;Georgia;Johnny Isakson
2010;Hawaii;Daniel Inouye
2010;Idaho;Mike Crapo
2010;Illinois;Roland Burris
2010;Indiana;Evan Bayh
2010;Iowa;Chuck Grassley
2010;Kansas;Sam Brownback
2010;Kentucky;Jim Bunning
2010;Louisiana;David Vitter
2010;Maryland;Barbara Mikulski
2010;Missouri;Kit Bond
2010;Nevada;Harry Reid
2010;New Hampshire;Judd Gregg
2010;New York;Chuck Schumer
2010;North Carolina;Richard Burr
2010;North Dakota;Byron Dorgan
2010;Ohio;George Voinovich
2010;Oklahoma;Tom Coburn
2010;Oregon;Ron Wyden
2010;Pennsylvania;Arlen Specter
2010;South Carolina;Jim DeMint
2010;South Dakota;John Thune
2010;Utah;Bob Bennett
2010;Vermont;Patrick Leahy
2010;Washington;Patty Murray
2010;Wisconsin;Russ Feingold
2012;Arizona;Jon Kyl
2012;California;Dianne Feinstein
2012;Connecticut;Joe Lieberman
2012;Delaware;Tom Carper
2012;Florida;Bill Nelson
2012;Hawaii;Daniel Akaka
2012;Indiana;Richard Lugar
2012;Maine;Olympia Snowe
2012;Maryland;Ben Cardin
2012;Massachusetts;Scott Brown
2012;Michigan;Debbie Stabenow
