"","jpg","candidate","party","clarifai_gender","clarifai_race"
"1","abby_broyles.jpg","Abby Broyles","DEM","Feminine","White"
"2","adrian_perkins.jpg","Adrian Perkins","DEM","Masculine","Black"
"3","al_damato.jpg","Al D'Amato","REP","Masculine","White"
"4","al_franken.jpg","Al Franken","DEM","Masculine","White"
"5","al_gross.jpg","Al Gross","IND","Masculine","White"
"6","alan_blinken.jpg","Alan Blinken","DEM","Masculine","White"
"7","alan_keyes.jpg","Alan Keyes","REP","Masculine","Black"
"8","alan_schlesinger.jpg","Alan Schlesinger","REP","Masculine","White"
"9","alex_sanders.jpg","Alex Sanders","DEM","Masculine","White"
"10","alexi_giannoulias.jpg","Alexi Giannoulias","DEM","Masculine","Middle Eastern"
"11","alison_lundergan_grimes.jpg","Alison Lundergan Grimes","DEM","Feminine","Middle Eastern"
"12","allen_mcculloch.jpg","Allen McCulloch","REP","Masculine","White"
"13","allen_waters.jpg","Allen Waters","REP","Masculine","Latino_Hispanic"
"14","allen_weh.jpg","Allen Weh","REP","Masculine","White"
"15","alvin_greene.jpg","Alvin Greene","DEM","Masculine","Black"
"16","amanda_curtis.jpg","Amanda Curtis","DEM","Feminine","White"
"17","amy_klobuchar.jpg","Amy Klobuchar","DEM","Feminine","White"
"18","amy_mcgrath.jpg","Amy McGrath","DEM","Feminine","White"
"19","andrew_rice.jpg","Andrew Rice","DEM","Masculine","White"
"20","ann_kirkpatrick.jpg","Ann Kirkpatrick","DEM","Feminine","White"
"21","arlen_specter.jpg","Arlen Specter","REP","Masculine","White"
"22","arthur_small.jpg","Arthur Small","DEM","Masculine","White"
"23","barack_obama.jpg","Barack Obama","DEM","Masculine","Latino_Hispanic"
"24","barbara_ann_radnofsky.jpg","Barbara Ann Radnofsky","DEM","Feminine","White"
"25","barbara_bollier.jpg","Barbara Bollier","DEM","Feminine","White"
"26","barbara_boxer.jpg","Barbara Boxer","DEM","Feminine","Middle Eastern"
"27","barbara_mikulski.jpg","Barbara Mikulski","DEM","Feminine","White"
"28","barry_hinckley.jpg","Barry Hinckley","REP","Masculine","White"
"29","ben_cardin.jpg","Ben Cardin","DEM","Masculine","White"
"30","ben_nelson.jpg","Ben Nelson","DEM","Masculine","White"
"31","ben_ray_lujan.jpg","Ben Ray Lujan","DEM","Masculine","Latino_Hispanic"
"32","ben_sasse.jpg","Ben Sasse","REP","Masculine","White"
"33","beto_orourke.jpg","Beto O'Rourke","DEM","Masculine","White"
"34","bill_bradbury.jpg","Bill Bradbury","DEM","Masculine","Middle Eastern"
"35","bill_cassidy.jpg","Bill Cassidy","REP","Masculine","White"
"36","bill_frist.jpg","Bill Frist","REP","Masculine","White"
"37","bill_hagerty.jpg","Bill Hagerty","REP","Masculine","White"
"38","bill_lloyd.jpg","Bill Lloyd","DEM","Masculine","White"
"39","bill_mccollum.jpg","Bill McCollum","REP","Masculine","White"
"40","bill_nelson.jpg","Bill Nelson","DEM","Masculine","White"
"41","blanche_lincoln.jpg","Blanche Lincoln","DEM","Feminine","White"
"42","bob_bennett.jpg","Bob Bennett","REP","Masculine","White"
"43","bob_casey_jr.jpg","Bob Casey Jr.","DEM","Masculine","White"
"44","bob_clement.jpg","Bob Clement","DEM","Masculine","Middle Eastern"
"45","bob_conley.jpg","Bob Conley","DEM","Masculine","Middle Eastern"
"46","bob_corker.jpg","Bob Corker","REP","Masculine","White"
"47","bob_franks.jpg","Bob Franks","REP","Masculine","White"
"48","bob_hugin.jpg","Bob Hugin","REP","Masculine","White"
"49","bob_inglis.jpg","Bob Inglis","REP","Masculine","White"
"50","bob_kerrey.jpg","Bob Kerrey","DEM","Masculine","Middle Eastern"
"51","bob_menendez.jpg","Bob Menendez","DEM","Masculine","White"
"52","bob_schaffer.jpg","Bob Schaffer","REP","Masculine","White"
"53","bob_tuke.jpeg","Bob Tuke","DEM","Masculine","White"
"54","brad_ellsworth.jpg","Brad Ellsworth","DEM","Masculine","White"
"55","brad_hutto.jpg","Brad Hutto","DEM","Masculine","White"
"56","brian_herr.jpg","Brian Herr","REP","Masculine","White"
"57","brian_schweitzer.jpg","Brian Schweitzer","DEM","Masculine","White"
"58","bruce_braley.jpg","Bruce Braley","DEM","Masculine","White"
"59","bruce_lunsford.jpeg","Bruce Lunsford","DEM","Feminine","White"
"60","byron_dorgan.jpg","Byron Dorgan","DEM","Masculine","White"
"61","cal_cunningham.jpg","Cal Cunningham","DEM","Masculine","White"
"62","carl_levin.jpg","Carl Levin","DEM","Masculine","White"
