state_long,party,name,first_name,rest_name,election_year
Alabama,dem_candidate,Clayton Suddith,Clayton,Suddith,1998
Alabama,rep_candidate,Richard Shelby,Richard,Shelby,1998
Alaska,dem_candidate,Joe Sonneman,Joe,Sonneman,1998
Alaska,rep_candidate,Frank Murkowski,Frank,Murkowski,1998
Arizona,dem_candidate,Ed Ranger,Ed,Ranger,1998
Arizona,rep_candidate,John McCain,John,McCain,1998
Arkansas,dem_candidate,Blanche Lincoln,Blanche,Lincoln,1998
Arkansas,rep_candidate,Fay Boozman,Fay,Boozman,1998
California,dem_candidate,Barbara Boxer,Barbara,Boxer,1998
California,rep_candidate,Matt Fong,Matt,Fong,1998
Colorado,dem_candidate,Dottie Lamm,Dottie,Lamm,1998
Colorado,rep_candidate,Ben Nighthorse Campbell,Ben,Campbell,1998
Connecticut,dem_candidate,Chris Dodd,Chris,Dodd,1998
Connecticut,rep_candidate,Gary Franks,Gary,Franks,1998
Florida,dem_candidate,Bob Graham,Bob,Graham,1998
Florida,rep_candidate,Charlie Crist,Charlie,Crist,1998
Georgia,dem_candidate,Michael Coles,Michael,Coles,1998
Georgia,rep_candidate,Paul Coverdell,Paul,Coverdell,1998
Hawaii,dem_candidate,Daniel Inouye,Daniel,Inouye,1998
Hawaii,rep_candidate,Crystal Young,Crystal,Young,1998
Idaho,dem_candidate,Bill Mauk,Bill,Mauk,1998
Idaho,rep_candidate,Mike Crapo,Mike,Crapo,1998
Illinois,dem_candidate,Carol Moseley Braun,Carol,Braun,1998
Illinois,rep_candidate,Peter Fitzgerald,Peter,Fitzgerald,1998
Indiana,dem_candidate,Evan Bayh,Evan,Bayh,1998
Indiana,rep_candidate,Paul Helmke,Paul,Helmke,1998
Iowa,dem_candidate,David Osterberg,David,Osterberg,1998
Iowa,rep_candidate,Chuck Grassley,Chuck,Grassley,1998
Kansas,dem_candidate,Paul Feleciano Jr.,Paul,Feleciano,1998
Kansas,rep_candidate,Sam Brownback,Sam,Brownback,1998
Kentucky,dem_candidate,Scotty Baesler,Scotty,Baesler,1998
Kentucky,rep_candidate,Jim Bunning,Jim,Bunning,1998
Louisiana,dem_candidate,John Breaux,John,Breaux,1998
