"","candidate","jpg","party","clarifai_gender","clarifai_race","gender","race","gender_checked","race_checked"
"1","Al D'Amato","al_damato.jpg","REP","Masculine","White","Masculine","White","Masculine","Italian"
"2","Al Franken","al_franken.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"3","Al Gross","al_gross.jpg","IND","Masculine","White","Masculine","White","Masculine","White"
"4","Alan Blinken","alan_blinken.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"5","Alan Keyes","alan_keyes.jpg","REP","Masculine","Black","Masculine","Black","Masculine","Black"
"6","Alan Schlesinger","alan_schlesinger.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"7","Alex Sanders","alex_sanders.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"8","Alison Lundergan Grimes","alison_lundergan_grimes.jpg","DEM","Feminine","Middle Eastern","Feminine","White","Feminine","White"
"9","Allen McCulloch","allen_mcculloch.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"10","Allen Weh","allen_weh.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"11","Alvin Greene","alvin_greene.jpg","DEM","Masculine","Black","Masculine","Black","Masculine","Black"
"12","Amanda Curtis","amanda_curtis.jpg","DEM","Feminine","White","Feminine","White","Feminine","White"
"13","Amy Klobuchar","amy_klobuchar.jpg","DEM","Feminine","White","Feminine","White","Feminine","White"
"14","Amy McGrath","amy_mcgrath.jpg","DEM","Feminine","White","Feminine","White","Feminine","White"
"15","Andrew Rice","andrew_rice.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"16","Ann Kirkpatrick","ann_kirkpatrick.jpg","DEM","Feminine","White","Feminine","White","Feminine","White"
"17","Arlen Specter","arlen_specter.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"18","Arthur Small","arthur_small.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"19","Barack Obama","barack_obama.jpg","DEM","Masculine","Latino_Hispanic","Masculine","Black","Masculine","Black"
"20","Barbara Ann Radnofsky","barbara_ann_radnofsky.jpg","DEM","Feminine","White","Feminine","White","Feminine","White"
"21","Barbara Bollier","barbara_bollier.jpg","DEM","Feminine","White","Feminine","White","Feminine","White"
