State(linked tosummaries below),Incumbent,Incumbent,Incumbent,Results,Candidates
State(linked tosummaries below),Senator,Party,Electoral history,Results,Candidates
Alabama,Richard Shelby,Republican,198619921998,Incumbent re-elected.,Richard Shelby (Republican) 68% Wayne Sowell (Democratic) 32%
Alaska,Lisa Murkowski,Republican,2002 (Appointed),Interim appointee elected.,Lisa Murkowski (Republican) 48.6% Tony Knowles (Democratic) 45.5% Marc Millican (Independent) 2.9% Jerry Sanders (Alaskan Independence) 1.2% Jim Sykes (Green) 1% Scott Kohlhaas (Libertarian Party) 0.4%
Arizona,John McCain,Republican,198619921998,Incumbent re-elected.,John McCain (Republican) 76% Stuart Starky (Democratic) 21% Ernest Hancock (Libertarian) 3%
Arkansas,Blanche Lincoln,Democratic,1998,Incumbent re-elected.,Blanche Lincoln (Democratic) 56% Jim Holt (Republican) 44%
California,Barbara Boxer,Democratic,19921998,Incumbent re-elected.,Barbara Boxer (Democratic) 57.7% Bill Jones (Republican) 37.8% Marsha Feinland (Peace and Freedom) 2% James P. Gray (Libertarian) 1.8% Don J. Grundmann (Constitution) 0.7%
Colorado,Ben Nighthorse Campbell,Republican,19921998,Incumbent retired.New senator elected.Democratic gain.,Ken Salazar (Democratic) 51.3% Pete Coors (Republican) 46.5% Doug Cambell (Constitution) 1% Richard Randall (Libertarian) 0.5% John Harris (Independent) 0.4% Victor Good (Reform Party) 0.3%
Connecticut,Chris Dodd,Democratic,1980198619921998,Incumbent re-elected.,Chris Dodd (Democratic) 66.4% Jack Orchulli (Republican) 32.1% Timothy Knibbs (Constitution) 0.9% Lenny Rasch (Libertarian) 0.6%
Florida,Bob Graham,Democratic,198619921998,Incumbent retired.New senator elected.Republican gain.,Mel Martinez (Republican) 49.5% Betty Castor (Democratic) 48.3% Dennis Bradley (Veterans) 2.2%
Georgia,Zell Miller,Democratic,2000 (Appointed)2000 (Special),Incumbent retired.New senator elected.Republican gain.,Johnny Isakson (Republican) 57.9% Denise Majette (Democratic) 40% Allen Buckley (Libertarian) 2.1%
Hawaii,Daniel Inouye,Democratic,1962196819741980198619921998,Incumbent re-elected.,Daniel Inouye (Democratic) 75.5% Campbell Cavasso (Republican) 21% James Brewer (Independent) 2.2% Lloyd Mallan (Libertarian) 1.3%
Idaho,Mike Crapo,Republican,1998,Incumbent re-elected.,"Mike Crapo (Republican) 99.2% Scott McClure (Democratic, write-in) 0.8%"
Illinois,Peter Fitzgerald,Republican,1998,Incumbent retired.New senator elected.Democratic gain.,Barack Obama (Democratic) 70% Alan Keyes (Republican) 27% Albert Franzen (Independent) 1.6% Jerry Kohn (Libertarian) 1.3%
Indiana,Evan Bayh,Democratic,1998,Incumbent re-elected.,Evan Bayh (Democratic) 62% Marvin Scott (Republican) 37% Albert Barger (Libertarian) 1%
Iowa,Chuck Grassley,Republican,1980198619921998,Incumbent re-elected.,Chuck Grassley (Republican) 70.1% Arthur Small (Democratic) 27.9% Christy Welty (Libertarian) 1% Daryl Northrop (Green) 0.8% Edwin Fruit (Socialist Workers) 0.1%
Kansas,Sam Brownback,Republican,1996 (Special)1998,Incumbent re-elected.,Sam Brownback (Republican) 69% Lee Jones (Democratic) 28% Stephen A. Rosile (Libertarian) 2% George Cook (Reform) 1%
Kentucky,Jim Bunning,Republican,1998,Incumbent re-elected.,Jim Bunning (Republican) 51% Daniel Mongiardo (Democratic) 49%
Louisiana,John Breaux,Democratic,198619921998,Incumbent retired.New senator elected.Republican gain.,David Vitter (Republican) 51% Chris John (Democratic) 29% John Kennedy (Democratic) 15% Arthur Morrell (Democratic) 3% Richard Fontanesi (Independent) 1% R.A. Galan (Independent) 1% Sam Melton (Democratic) 1%
Maryland,Barbara Mikulski,Democratic,198619921998,Incumbent re-elected.,Barbara Mikulski (Democratic) 64.8% E. J. Pipkin (Republican) 33.7% Maria Allwine] (Green) 1.1% Thomas Trump (Constitution) 0.4%
Missouri,Kit Bond,Republican,198619921998,Incumbent re-elected.,Kit Bond (Republican) 56% Nancy Farmer (Democratic) 42.8% Kevin Tull (Libertarian) 0.7% Don Griffin (Constitution) 0.4%
Nevada,Harry Reid,Democratic,198619921998,Incumbent re-elected.,Harry Reid (Democratic) 61.1% Richard Ziser (Republican) 35.1% None of These Candidates 1.6% Tomas Hurst (Libertarian) 1.2% David Schumann (Constitution) 0.7% Gary Marinch (Natural Law) 0.3%
New Hampshire,Judd Gregg,Republican,19921998,Incumbent re-elected.,Judd Gregg (Republican) 66% Doris Haddock (Democratic) 34%
New York,Chuck Schumer,Democratic,1998,Incumbent re-elected.,Chuck Schumer (Democratic) 71.16% Howard Mills III (Republican) 24.24% Marilyn O'Grady (Conservative) 3% David McReynolds (Green) 0.5% Donald Silberger (Libertarian) 0.3% Abraham Hirschfeld (Builders Party) 0.2% Martin Koppel (Socialist Workers) 0.2%
North Carolina,John Edwards,Democratic,1998,Incumbent retired to run for Vice President of the United States.New senator elected.Republican gain.,Richard Burr (Republican) 52% Erskine Bowles (Democratic) 47% Tom Bailey (Libertarian) 1%
North Dakota,Byron Dorgan,Democratic-NPL,19921998,Incumbent re-elected.,Byron Dorgan (Democratic-NPL) 68% Mike Liffrig (Republican) 32%
Ohio,George Voinovich,Republican,1998,Incumbent re-elected.,George Voinovich (Republican) 63.9% Eric Fingerhut (Democratic) 36.1%
Oklahoma,Don Nickles,Republican,1980198619921998,Incumbent retired.New senator elected.Republican hold.,Tom Coburn (Republican) 52.8% Brad Carson (Democratic) 41.2% Sheila Bilyeu (Independent) 6%
Oregon,Ron Wyden,Democratic,1996 (Special)1998,Incumbent re-elected.,Ron Wyden (Democratic) 63.4% Al King (Republican) 31.8% Teresa Keane (Green) 2.4% Dan Fitzgerald (Libertarian) 1.7% David Brownlow (Constitution) 0.7%
Pennsylvania,Arlen Specter,Republican,1980198619921998,Incumbent re-elected.,Arlen Specter (Republican) 52.6% Joe Hoeffel (Democratic) 42% Jim Clymer (Constitution) 4% Betsy Summers (Libertarian) 1.4%
South Carolina,Fritz Hollings,Democratic,1966 (Appointed)196819741980198619921998,Incumbent retired.New senator elected.Republican gain.,Jim DeMint (Republican) 53.7% Inez Tenenbaum (Democratic) 44.1% Patrick Tyndall (Constitution) 0.8% Rebekah Sutherland (Libertarian) 0.7% Tee Ferguson (United Citizens Party) 0.4% Efia Nwangaza (Green) 0.3%
South Dakota,Tom Daschle,Democratic,198619921998,Incumbent lost re-election.New senator elected.Republican gain.,John Thune (Republican) 50.5% Tom Daschle (Democratic) 49.4%
