State(linked tosummaries below),Incumbent,Incumbent,Incumbent,Results,Candidates
State(linked tosummaries below),Senator,Party,Electoral history,Results,Candidates
Alabama,Jeff Sessions,Republican,199620022008,Incumbent re-elected.,Jeff Sessions (Republican) 97.25%[26] Write-in 2.75%[26]
Alaska,Mark Begich,Democratic,2008,Incumbent lost re-election.New senator elected.Republican gain.[27],Dan Sullivan (Republican) 48.0%[28] Mark Begich (Democratic) 45.8%[29] Mark Fish (Libertarian) 3.7%[30] Ted Gianoutsos (Independent) 2.0%[31]
Arkansas,Mark Pryor,Democratic,20022008,Incumbent lost re-election.New senator elected.Republican gain.,Tom Cotton (Republican) 56.5%[32] Mark Pryor (Democratic) 39.4%[33] Nathan LaFrance (Libertarian) 2.0%[34][35] Mark Swaney (Green) 2.0%[36]
Colorado,Mark Udall,Democratic,2008,Incumbent lost re-election.New senator elected.Republican gain.,Cory Gardner (Republican) 48.2%[37][38][39] Mark Udall (Democratic) 46.3%[40] Gaylon Kent (Libertarian) 2.6%[41] Stephen H. Shogan (Independent) 1.4%[42] Raúl Acosta (Independent) 1.2% Bill Hammons (Unity) 0.3%[43]
Delaware,Chris Coons,Democratic,2010 (Special),Incumbent re-elected.,Chris Coons (Democratic) 55.8%[44] Kevin Wade (Republican) 42.2%[45] Andrew Groff (Green) 1.9%
Georgia,Saxby Chambliss,Republican,20022008,Incumbent retired.[46]New senator elected.Republican hold.,David Perdue (Republican) 52.9%[47] Michelle Nunn (Democratic) 45.2%[48] Amanda Swafford (Libertarian) 1.9%[49]
Idaho,Jim Risch,Republican,2008,Incumbent re-elected.,Jim Risch (Republican) 65.3%[50] Nels Mitchell (Democratic) 34.7%[51]
Illinois,Dick Durbin,Democratic,199620022008,Incumbent re-elected.,Dick Durbin (Democratic) 53.5%[52] Jim Oberweis (Republican) 42.7%[53] Sharon Hansen (Libertarian) 3.8%[54]
Iowa,Tom Harkin,Democratic,19841990199620022008,Incumbent retired.[55]New senator elected.Republican gain.,Joni Ernst (Republican) 52.1%[56] Bruce Braley (Democratic) 43.8%[57] Rick Stewart (Independent) 2.4% Doug Butzier (Libertarian) 0.7%[58] Bob Quast (Independent) 0.5%[59] Ruth Smith (Independent) 0.4%
Kansas,Pat Roberts,Republican,199620022008,Incumbent re-elected.,Pat Roberts (Republican) 53.1%[60] Greg Orman (Independent) 42.5% Randall Batson (Libertarian) 4.3%[61]
Kentucky,Mitch McConnell,Republican,19841990199620022008,Incumbent re-elected.,Mitch McConnell (Republican) 56.1%[62] Alison Lundergan Grimes (Democratic) 40.7%[63] David Patterson (Libertarian) 3.1%[64]
Louisiana,Mary Landrieu,Democratic,199620022008,Incumbent lost re-election.New senator elected.Republican gain.,Bill Cassidy (Republican) 55.9%[65] Mary Landrieu (Democratic) 44.1%[66]
Maine,Susan Collins,Republican,199620022008,Incumbent re-elected.,Susan Collins (Republican) 68.5%[67] Shenna Bellows (Democratic) 31.5%[68]
Massachusetts,Ed Markey,Democratic,2013 (Special),Incumbent re-elected.,Ed Markey (Democratic) 62.0%[69] Brian Herr (Republican) 38.0%[70]
Michigan,Carl Levin,Democratic,197819841990199620022008,Incumbent retired.[71]New senator elected.Democratic hold.,Gary Peters (Democratic) 54.6%[72] Terri Lynn Land (Republican) 41.3%[73] Jim Fulner (Libertarian) 2.0%[74] Richard Matkin (U.S. Taxpayers) 1.2% Chris Wahmhoff (Green) 0.9%[75]
Minnesota,Al Franken,Democratic–Farmer–Labor,2008,Incumbent re-elected.,Al Franken (Democratic Farmer-Labor) 53.2%[76] Mike McFadden (Republican) 42.9%[77] Steve Carlson (Independence) 2.4%[78] Heather Johnson (Libertarian) 1.5%[78]
Mississippi,Thad Cochran,Republican,197819841990199620022008,Incumbent re-elected.,Thad Cochran (Republican) 59.9%[79] Travis Childers (Democratic) 37.9%[80] Shawn O'Hara (Reform) 2.2%[81]
