"","candidate","jpg","party"
"1","Al Franken","al_franken.jpg","DEM"
"2","Alan Blinken","alan_blinken.jpg","DEM"
"3","Alex Sanders","alex_sanders.jpg","DEM"
"4","Alexi Giannoulias","alexi_giannoulias.jpg","DEM"
"5","Alison Lundergan Grimes","alison_lundergan_grimes.jpg","DEM"
"6","Alvin Greene","alvin_greene.jpg","DEM"
"7","Amanda Curtis","amanda_curtis.jpg","DEM"
"8","Amy Klobuchar","amy_klobuchar.jpg","DEM"
"9","Andrew Rice","andrew_rice.jpg","DEM"
"10","Ann Kirkpatrick","ann_kirkpatrick.jpg","DEM"
"11","Arthur Small","NA","DEM"
"12","Barack Obama","barack_obama.jpg","DEM"
"13","Barbara Ann Radnofsky","barbara_ann_radnofsky.jpg","DEM"
"14","Barbara Boxer","barbara_boxer.jpg","DEM"
"15","Barbara Mikulski","barbara_mikulski.jpg","DEM"
"16","Ben Cardin","ben_cardin.jpg","DEM"
"17","Ben Nelson","ben_nelson.jpg","DEM"
"18","Beto O'Rourke","beto_orourke.jpg","DEM"
"19","Bill Bradbury","bill_bradbury.jpg","DEM"
"20","Bill Lloyd","bill_lloyd.jpg","DEM"
"21","Bill Nelson","bill_nelson.jpg","DEM"
"22","Blanche Lincoln","blanche_lincoln.jpg","DEM"
"23","Bob Casey Jr.","bob_casey_jr.jpg","DEM"
"24","Bob Clement","bob_clement.jpg","DEM"
"25","Bob Conley","bob_conley.jpg","DEM"
"26","Bob Kerrey","bob_kerrey.jpg","DEM"
"27","Bob Menendez","bob_menendez.jpg","DEM"
"28","Bob Tuke","bob_tuke.jpeg","DEM"
"29","Brad Ellsworth","brad_ellsworth.jpg","DEM"
"30","Brad Hutto","brad_hutto.jpg","DEM"
"31","Brian Schweitzer","brian_schweitzer.jpg","DEM"
"32","Bruce Braley","bruce_braley.jpg","DEM"
"33","Bruce Lunsford","bruce_lunsford.jpeg","DEM"
"34","Byron Dorgan","byron_dorgan.jpg","DEM"
"35","Carl Levin","carl_levin.jpg","DEM"
"36","Carol Moseley Braun","carol_m_braun.jpg","DEM"
"37","Catherine Cortez Masto","catherine_c_masto.jpg","DEM"
"38","Charles Melancon","charles_melancon.jpg","DEM"
"39","Chellie Pingree","chellie_pingree.jpg","DEM"
"40","Chris Coons","chris_coons.jpg","DEM"
"41","Chris Dodd","christopher_dodd.jpg","DEM"
"42","Chris Murphy","chris_murphy.jpg","DEM"
"43","Chris Rothfuss","chris_rothfuss.jpg","DEM"
"44","Chris Van Hollen","chris_van_hollen.jpg","DEM"
"45","Chuck Robb","chuck_robb.jpeg","DEM"
"46","Chuck Schumer","chuck_schumer.jpg","DEM"
"47","Claire McCaskill","claire_mccaskill.jpg","DEM"
"48","Cory Booker",NA,"DEM"
"49","Cynthia Dill","cynthia_dill.jpg","DEM"
"50","Daniel Mongiardo","daniel_mongiardo.jpg","DEM"
"51","David Baria","david_baria.jpg","DEM"
"52","David Johnson","david_johnson.jpg","DEM"
"53","David Walters","david_walters.jpg","DEM"
"54","Debbie Stabenow","debbie_stabenow.jpg","DEM"
"55","Deborah Ross","deborah_k_ross.jpg","DEM"
"56","Denise Majette","denise_majette.jpg","DEM"
"57","Dianne Feinstein","dianne_feinstein.jpg","DEM"
"58","Dick Durbin","dick_durbin.jpg","DEM"
"59","Ed Flanagan","ed_flanagan.jpg","DEM"
"60","Ed Markey",NA,"DEM"
"61","Edward M. Bernstein","edward_m_bernstein.jpg","DEM"
"62","Elaine Marshall","elaine_marshall.jpg","DEM"
"63","Elizabeth Warren","elizabeth_warren.jpg","DEM"
"64","Eric Fingerhut","eric_fingerhut.jpg","DEM"
"65","Ernest Hollings",NA,"DEM"
"66","Erskine Bowles","erskine_bowles.jpg","DEM"
"67","Evan Bayh","evan_bayh.jpg","DEM"
"68","Foster Campbell","foster_campbell.jpg","DEM"
"69","Frank Lautenberg","frank_lautenberg.jpg","DEM"
"70","Gary Peters","gary_peters.jpg","DEM"
"71","Gene Kelly","gene_kelly.jpg","DEM"
"72","Gloria Tristani","gloria_tristani.jpg","DEM"
"73","Gordon Ball","gordon_ball.jpg","DEM"
"74","Harold Ford Jr.","harold_ford_jr.jpg","DEM"
"75","Harry Reid","harry_reid.jpg","DEM"
"76","Heidi Heitkamp","heidi_heitkamp.jpg","DEM"
"77","Herb Kohl","herb_kohl.jpg","DEM"
"78","Hillary Clinton","hillary_clinton.jpg","DEM"
"79","Inez Tenenbaum","inez_tenenbaum.jpg","DEM"
"80","Jack Carter","jack_carter.jpg","DEM"
"81","Jack Conway","jack_conway.jpg","DEM"
"82","Jack Reed","jack_reed.jpg","DEM"
"83","Jacky Rosen","jacky_rosen.jpg","DEM"
"84","Jane Raybould","jane_raybould.jpg","DEM"
"85","Jason Kander","jason_kander.jpg","DEM"
"86","Jay Nixon","jay_nixon.jpg","DEM"
"87","Jay Williams","jay_williams.jpg","DEM"
"88","Jean Carnahan","jean_carnahan.jpg","DEM"
"89","Jean Hay Bright","jean_hay_bright.jpg","DEM"
"90","Jeanne Shaheen","jeanne_shaheen.jpg","DEM"
"91","Jeff Bingaman","jeff_bingaman.jpg","DEM"
"92","Jeff Clark","jeff_clark.jpg","DEM"
"93","Jeff Merkley","jeff_merkley.jpg","DEM"
"94","Jim Barksdale","jim_barksdale.jpg","DEM"
"95","Jim Gray","jim_gray.jpg","DEM"
"96","Jim Martin","jim_martin.png","DEM"
"97","Jim Pederson","jim_pederson.jpg","DEM"
"98","Jim Rogers","jim_rogers.jpg","DEM"
"99","Jim Slattery","jim_slattery.jpg","DEM"
"100","Jim Webb","jim_webb.jpg","DEM"
"101","Joe Biden","joe_biden.jpg","DEM"
"102","Joe Donnelly","joe_donnelly.jpg","DEM"
"103","Joe Lieberman","joe_lieberman.jpg","DEM"
"104","Joe Manchin","joe_manchin.jpg","DEM"
"105","John Edwards","john_edwards.jpg","DEM"
"106","John Kerry","john_kerry.jpg","DEM"
"107","Jon Corzine","jon_corzine.jpg","DEM"
"108","Jon Tester","jon_tester.jpg","DEM"
"109","Kay Hagan","kay_hagan.jpg","DEM"
"110","Ken Salazar","ken_salazar.jpg","DEM"
"111","Kent Conrad","kent_conrad.jpg","DEM"
"112","Kirsten Gillibrand","kirsten_gillibrand.jpg","DEM"
"113","Kyrsten Sinema","kyrsten_sinema.jpg","DEM"
"114","Larry LaRocco",NA,"DEM"
"115","Lee Fisher","lee_fisher.jpg","DEM"
"116","Lee Jones",NA,"DEM"
"117","Lois Combs Weinberg","lois_combs_weinberg.jpg","DEM"
"118","Maggie Hassan","maggie_hassan.jpg","DEM"
"119","Maria Cantwell","maria_cantwell.jpg","DEM"
"120","Mark Begich","mark_begich.jpg","DEM"
"121","Mark Clayton","mark_clayton.jpg","DEM"
"122","Mark Dayton","mark_dayton.jpg","DEM"
"123","Mark Pryor","mark_pryor.jpg","DEM"
"124","Mark Udall","mark_udall.jpg","DEM"
"125","Mark Warner","mark_warner.jpg","DEM"
"126","Martha Coakley",NA,"DEM"
"127","Martin Heinrich","martin_heinrich.jpg","DEM"
"128","Mary Boyle","mary_oboyle.jpg","DEM"
"129","Mary Landrieu","mary_landrieu.jpg","DEM"
"130","Max Baucus","max_baucus.jpg","DEM"
"131","Max Cleland","max_cleland.jpg","DEM"
"132","Mazie Hirono","mazie_hirono.jpg","DEM"
"133","Mel Carnahan","mel_carnahan.jpg","DEM"
"134","Mel Logan","mel_logan.jpg","DEM"
"135","Michael Bennet","michael_bennet.jpg","DEM"
"136","Michael Coles","michael_coles.jpg","DEM"
"137","Michael Thurmond","michael_thurmond.jpg","DEM"
"138","Michelle Nunn","michelle_nunn.jpg","DEM"
"139","Misty K. Snow","misty_snow.jpg","DEM"
"140","Nancy Farmer","nancy_farmer.jpg","DEM"
"141","Ned Lamont","ned_lamont.jpg","DEM"
"142","Patrick Leahy","patrick_leahy.jpg","DEM"
"143","Patrick Murphy","patrick_murphy.jpg","DEM"
"144","Patty Judge","patty_judge.jpg","DEM"
"145","Patty Murray","patty_murray.jpg","DEM"
"146","Paul Hodes",NA,"DEM"
"147","Paul Sadler","paul_sadler.jpg","DEM"
"148","Paul Sarbanes","paul_sarbanes.jpg","DEM"
"149","Paul Van Dam","paul_van_dam.jpg","DEM"
"150","Pete Ashdown","pete_ashdown.jpg","DEM"
"151","Phil Bredesen","phil_bredesen.jpg","DEM"
"152","Richard Blumenthal","richard_blumenthal.jpg","DEM"
"153","Richard Carmona","richard_carmona.jpg","DEM"
"154","Rick Noriega","rick_noriega.jpg","DEM"
"155","Rick Weiland","rick_weiland.jpg","DEM"
"156","Robert Weygand","robert_weygand.jpg","DEM"
"157","Robin Carnahan","robin_carnahan.jpg","DEM"
"158","Rodney Glassman","rodney_glassman.jpg","DEM"
"159","Ron Kirk","ron_kirk.jpg","DEM"
"160","Ron Klink","ronald_klink.jpg","DEM"
"161","Ron Wyden","ron_wyden.jpg","DEM"
"162","Ronnie Musgrove",NA,"DEM"
"163","Roxanne Conlin","roxanne_conlin.jpg","DEM"
"164","Russ Feingold","russ_feingold.jpg","DEM"
"165","Sam Granato","sam_granato.jpg","DEM"
"166","Scott Howell","scott_howell.jpg","DEM"
"167","Scott Kleeb","scott_kleeb.jpg","DEM"
"168","Scotty Baesler","scotty_baesler.jpg","DEM"
"169","Sheldon Whitehouse","sheldon_whitehouse.jpg","DEM"
"170","Shelley Berkley","shelley_berkley.jpg","DEM"
"171","Shenna Bellows","shenna_bellows.jpg","DEM"
"172","Sherrod Brown","sherrod_brown.jpg","DEM"
"173","Susan Parker","susan_parker.png","DEM"
"174","Tammy Baldwin","tammy_baldwin.jpg","DEM"
"175","Tammy Duckworth","tammy_duckworth.jpg","DEM"
